"COMMUNE_NOM","COLL_INSEE","TYPE_EVENEMENT","ANNEE","DATE_EVENEMENT","NOMBRE_EVENEMENT"
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130404,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130412,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130415,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130416,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130417,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130421,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130422,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130426,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130427,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130429,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130502,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130504,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130506,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130507,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130508,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130516,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130522,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130523,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130524,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130528,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130604,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130606,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130612,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130615,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130618,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130619,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130620,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130625,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130626,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130629,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130702,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130707,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130708,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130710,3
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130711,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130713,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130728,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130731,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130804,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130805,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130810,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130811,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130816,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130817,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130818,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130819,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130825,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130902,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130903,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130909,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130912,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130914,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130918,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130919,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130920,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130921,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20130922,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131003,2
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131004,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131006,1
"Saint-Paul-lès-Dax","40279","NAISSANCE",2013,20131007,1
